Type,Name,Latitude,Longitude
CDC,Shanghai CDC,31.234761,121.662705
CDC,Beijing CDC,39.93677,116.450761
CDC,Hefei CDC,31.713491,117.250643
CDC,Chengdu CDC,30.785137,103.914193
CDC,Huiyang CDC,22.897237,114.483405
CDC,Shenzhen CDC,22.761804,113.853126
RDC,Shanghai RDC,31.335616,121.420284
RDC,Urumqi RDC,43.891101,87.545671
RDC,Lanzhou RDC,36.054593,103.976689
RDC,Beijing RDC,40.090227,116.28588
RDC,Nanjing RDC,31.937244,118.935369
RDC,Nanning RDC,22.858136,108.271683
RDC,Xiamen RDC,24.543769,118.118156
RDC,Hefei RDC,31.79482,117.349118
RDC,Hohhot RDC,40.827143,111.757102
RDC,Harbin RDC,45.730751,126.687726
RDC,Tianjin RDC,39.103205,117.343809
RDC,Taiyuan RDC,37.810197,112.632979
RDC,Chengdu RDC,30.559078,103.965915
RDC,Dongguan RDC,23.012664,113.737774
RDC,Guangzhou RDC,23.102596,113.546367
RDC,Kunming RDC,24.937113,102.838078
RDC,Hangzhou RDC,30.349039,120.105769
RDC,Wuhan RDC,30.447431,114.473
RDC,Lhasa RDC,29.640474,91.137994
RDC,Haikou RDC,38.09085,114.515422
RDC,Shenyang RDC,41.95663,123.580088
RDC,Nanchang RDC,28.685661,115.860108
RDC,Jinan RDC,36.730211,117.043584
RDC,Fuzhou RDC,26.019306,119.330427
RDC,Shijiazhuang RDC,38.092612,114.515372
RDC,Xining RDC,36.59323,101.835899
RDC,Guiyang RDC,26.534727,106.699907
RDC,Zhengzhou RDC,34.729138,113.901533
RDC,Chongqing RDC,29.480404,106.445078
RDC,Xian RDC,34.320985,108.858637
RDC,Changchun RDC,43.896585,125.421107
RDC,Yinchuan RDC,38.471322,106.268527
RDC,Qingdao RDC,36.187266,120.402801
RDC,Changsha RDC,28.268413,113.079103
