CarrierNo,CountOfShipment,TotalVolume(cbm),AverageDensity,TotalDistance,AverageDistance,AverageCO2Metric,TotalCO2Metric,AverageCO2(kg),ToalCO2(kg),TrafficRating,DensityRating,EfficiencyRating
Carrier01,16,223.78,186.4369376,20494,1280.875,0.222678533,3.562856528,556.6221216,8905.953946,1,4,4
Carrier02,156,580.297,171.8442405,296647,1901.583333,0.106658323,16.63869834,69.65122643,10865.59132,3,3,5
Carrier03,76,1077.841,149.5193925,65656,863.8947368,0.309476615,23.52022273,322.0442791,24475.36521,2,2,3
Carrier04,49,865.1433,184.8370233,48261.93373,984.9374231,0.592094419,29.01262652,291.2128045,14269.42742,2,4,1
Carrier05,10,46.072,176.8899425,9581,958.1,0.230063886,2.300638862,129.4861584,1294.861584,1,3,4
Carrier06,320,3465.5784,153.5023504,237061.5703,740.8174072,0.419917539,134.3736125,219.9194261,70374.21634,4,2,2
Carrier07,154,2074.441,136.7493485,152947,993.1623377,0.306302675,47.17061193,386.5599163,59530.22711,3,1,3
Carrier08,651,3823.7413,184.6451714,984200.7065,1511.829042,0.339751214,221.1780406,293.4767656,191053.3744,5,4,3
Carrier09,147,2684.084,127.2245179,70403,478.9319728,0.496215352,72.9436568,259.5361491,38151.81392,3,1,2
Carrier10,40,280.111,203.9005057,49255,1231.375,0.198231344,7.929253766,287.4242466,11496.96987,1,5,4
Carrier11,26,612.684,187.3463149,20890,803.4615385,0.269063153,6.995641975,557.8643414,14504.47288,1,4,3
Carrier12,66,1446.315,165.7378339,41960,635.7575758,0.260144128,17.16951246,402.1942991,26544.82374,2,3,3
