Shipment#,IndexDate,Month,Year,Date(Period),CarrierRef,EnglishOrigin,EnglishDestination,Route,GCD,CO2,CO2Metric,Density,CDCTrafficRating,CDCDensityRating,CDCEfficiencyRating,RDCTrafficRating,RDCDensityRating,RDCEfficiencyRating,RouteTrafficRating,RouteDensityRating,RouteEfficiencyRating
1,04-01-2013,4,2013,Apr-13,Carrier12,Beijing CDC,Chongqing RDC,"Beijing CDC , Chongqing RDC",560.2,354.6191463,0.290403888,131.8055388,3,3,5,4,4,5,3,1,4
2,04-01-2013,4,2013,Apr-13,Carrier10,Shanghai CDC,Wuhan RDC,"Shanghai CDC , Wuhan RDC",691.8,98.76551341,0.185668386,215.3865546,5,4,3,2,2,5,2,2,4
3,04-02-2013,4,2013,Apr-13,Carrier03,Chengdu CDC,Xian RDC,"Chengdu CDC , Xian RDC",611.4,335.7789334,0.291264567,128.6193724,2,3,3,2,2,5,2,1,4
4,04-02-2013,4,2013,Apr-13,Carrier02,Huiyang CDC,Chongqing RDC,"Huiyang CDC , Chongqing RDC",1583.9,7.511513214,0.070102237,145.7974138,4,1,2,4,4,5,1,1,5
5,04-02-2013,4,2013,Apr-13,Carrier06,Huiyang CDC,Nanjing RDC,"Huiyang CDC , Nanjing RDC",1096.6,13.15428854,0.296185708,131.4935065,4,1,2,2,2,2,3,1,4
6,04-03-2013,4,2013,Apr-13,Carrier06,Shanghai CDC,Nanjing RDC,"Shanghai CDC , Nanjing RDC",278.7,11.90810682,0.236750611,158.5887522,5,4,3,2,2,2,5,1,4
7,04-03-2013,4,2013,Apr-13,Carrier04,Chengdu CDC,Chengdu RDC,"Chengdu CDC , Chengdu RDC",27,89.15679329,0.302787488,165.4280687,2,3,3,4,4,5,3,1,4
8,04-03-2013,4,2013,Apr-13,Carrier11,Beijing CDC,Zhengzhou RDC,"Beijing CDC , Zhengzhou RDC",627.4,904.0049274,0.286861161,127.6013617,3,3,5,2,2,5,3,1,4
9,04-03-2013,4,2013,Apr-13,Carrier09,Huiyang CDC,Guangzhou RDC,"Huiyang CDC , Guangzhou RDC",99.9,56.78032417,0.387079199,122.5164789,4,1,2,4,4,5,5,1,3
10,04-03-2013,4,2013,Apr-13,Carrier08,Shenzhen CDC,Wuhan RDC,"Shenzhen CDC , Wuhan RDC",863.5,0.47219314,0.153175433,255,2,3,4,2,2,5,1,2,4
