Names,Deliveries,MostUtilisedCarrier,LessUtilisedCarrier,AveDensity ,AveCO2km,TrafficRating,DensityRating,EfficiencyRating
Shanghai RDC,42,Carrier08,Carrier04,204.7836453,0.273689521,2,5,5
Urumqi RDC,13,Carrier02,Carrier08,121.1846103,0.295536116,1,1,5
Lanzhou RDC,31,Carrier03,Carrier08,131.9680442,0.341989465,2,2,4
Beijing RDC,114,Carrier08,Carrier10,164.8365774,0.243733809,4,4,5
Nanjing RDC,115,Carrier06,Carrier04,140.7685669,0.262527991,4,3,5
Nanning RDC,35,Carrier07,Carrier04,132.4175129,0.208323378,2,2,5
Xiamen RDC,29,Carrier07,Carrier05,140.4886606,0.31409608,2,3,5
Hefei RDC,55,Carrier06,Carrier08,145.486544,0.235815252,3,3,5
Hohhot RDC,42,Carrier02,Carrier06,136.7708842,0.341795244,2,2,4
Harbin RDC,29,Carrier08,Carrier04,134.6745956,0.307247065,2,2,5
Tianjin RDC,47,Carrier06,Carrier02,140.7661253,0.366917794,2,3,4
Taiyuan RDC,60,Carrier08,Carrier04,138.0703627,0.291090613,3,2,5
Chengdu RDC,68,Carrier08,Carrier10,137.822955,0.327624507,3,2,4
Guangdong RDC,56,Carrier09,Carrier04,130.3182992,0.397282215,3,2,4
Guangzhou RDC,136,Carrier08,Carrier02,138.5528516,0.489492355,5,2,4
Kunming RDC,58,Carrier07,Carrier02,139.6071794,0.234563222,3,3,5
Hangzhou RDC,95,Carrier06,Carrier02,141.2074353,0.641049588,4,3,3
Wuhan RDC,51,Carrier02,Carrier08,134.6742844,0.237720673,2,2,5
Lhasa RDC,2,Carrier08,Carrier01,142.7419355,1.064938326,1,3,1
Hainan RDC,32,Carrier08,Carrier02,135.4434623,0.82332527,2,2,2
Shenyang RDC,48,Carrier08,Carrier02,134.0847375,0.292200234,2,2,5
Nanchang RDC,42,Carrier08,Carrier01,130.5507705,0.36959166,2,2,4
Qingdao RDC,79,Carrier08,Carrier02,140.1236623,0.292016742,3,3,5
Fuzhou RDC,41,Carrier07,Carrier05,137.162418,0.238098733,2,2,5
Panyu RDC,48,Carrier07,Carrier04,137.7252972,0.301265922,2,2,5
Xining RDC,5,Carrier06,Carrier06,147.7131542,0.80568394,1,3,2
Guiyang RDC,29,Carrier08,Carrier02,137.7415084,0.336744876,2,2,4
Zhengzhou RDC,70,Carrier08,Carrier04,140.5763029,0.294197397,3,3,5
Jiulongpo RDC,40,Carrier02,Carrier06,137.3535625,0.368765152,2,2,4
Xian RDC,58,Carrier08,Carrier06,141.171984,0.285631889,3,3,5
Changchun RDC,34,Carrier08,Carrier10,136.3217074,0.394007216,2,2,4
Yinchuan RDC,14,Carrier08,Carrier04,135.4925053,0.312144792,1,2,5
Chongqing RDC,43,Carrier12,Carrier08,138.4687876,0.278124388,2,2,5
Changsha RDC,50,Carrier08,Carrier10,137.4205706,0.261227113,2,2,5
