Route Name,Count of Shipment Num,Average of GCD,Average of Density,Average of CO2 Metric,Traffic Rating,Density Rating,Efficiency Rating
"Beijing CDC , Chongqing RDC",18,560.2,132.4592865,0.292992333,2,1,4
"Beijing CDC , Fuzhou RDC",9,1583.8,179.3558811,0.098020924,1,2,5
"Beijing CDC , Guangdong RDC",16,1933.6,204.4595911,0.244647009,2,3,4
"Beijing CDC , Guangzhou RDC",31,1791.566969,173.615433,0.345574984,3,2,4
"Beijing CDC , Hangzhou RDC",18,1131,142.2903925,0.269797985,2,1,4
"Beijing CDC , Harbin RDC",15,1057.4,158.0456663,0.263000146,2,1,4
"Beijing CDC , Hefei RDC",7,921.3,177.2494091,0.130299939,1,2,5
"Beijing CDC , Hohhot RDC",25,398.9,149.6553787,0.265114033,3,1,4
"Beijing CDC , Kunming RDC",8,2096,142.1403925,0.082777974,1,1,5
"Beijing CDC , Lanzhou RDC",10,1161.4,142.4427105,0.289865,1,1,4
"Beijing CDC , Lhasa RDC",16,1171.55,136.1220069,0.153337394,2,1,5
"Beijing CDC , Nanjing RDC",11,927.2,144.1589015,0.192185958,2,1,5
"Beijing CDC , Nanning RDC",6,2053.7,140.5480202,0.072686686,1,1,5
"Beijing CDC , Qingdao RDC",53,476.8959054,148.2829528,0.344235216,4,1,4
"Beijing CDC , Shanghai RDC",4,1072.3,371.2145926,0.234560675,1,5,4
"Beijing CDC , Shenyang RDC",22,641.3,131.4936326,0.272328274,2,1,4
"Beijing CDC , Taiyuan RDC",20,412.8,130.8876985,0.305537079,2,1,4
"Beijing CDC , Tianjin RDC",20,137.3,146.1715272,0.280110496,2,1,4
"Beijing CDC , Urumqi RDC",5,2409.8,121.5944573,0.09244426,1,1,5
"Beijing CDC , Xiamen RDC",4,1731.1,126.6117077,0.19145113,1,1,5
"Beijing CDC , Xian RDC",40,874.7325,197.109899,0.260444708,4,2,4
"Beijing CDC , Yinchuan RDC",26,945.2307692,164.318141,0.249776091,3,2,4
"Chengdu CDC , Beijing RDC",9,1518.7,244.0050831,0.167057114,1,3,5
"Chengdu CDC , Chongqing RDC",1,1639.2,284.6774194,0.035765047,1,4,5
"Chengdu CDC , Fuzhou RDC",1,1596.3,262.7960275,0.043314845,1,4,5
"Chengdu CDC , Guangdong RDC",1,1351.191666,262.9179331,0.987567565,1,4,2
"Chengdu CDC , Guangzhou RDC",26,412.1692308,181.7593825,0.290481663,3,2,4
"Chengdu CDC , Hangzhou RDC",8,1549.2,235.8712455,0.172522947,1,3,5
"Chengdu CDC , Harbin RDC",4,2576.89331,250.8397461,0.874508896,1,4,3
"Chengdu CDC , Hefei RDC",2,1280.1,269.8215553,0.039329235,1,4,5
"Chengdu CDC , Hohhot RDC",1,1313.8,265.3846154,0.042840822,1,4,5
"Chengdu CDC , Kunming RDC",8,659.5,131.6513908,0.316767465,1,1,4
"Chengdu CDC , Lanzhou RDC",7,581.9,122.9114099,0.447463914,1,1,4
"Chengdu CDC , Lhasa RDC",4,1051.3,237.3046239,0.16071273,1,3,5
"Chengdu CDC , Nanjing RDC",7,1421.29939,266.3055924,0.379338307,1,4,4
"Chengdu CDC , Nanning RDC",7,981.1,158.9262298,0.286834447,1,2,4
"Chengdu CDC , Qingdao RDC",17,1356.310335,257.2803319,0.457817909,2,4,4
"Chengdu CDC , Shanghai RDC",5,1667.390354,282.4208817,0.294766037,1,4,4
"Chengdu CDC , Shenyang RDC",2,2141.2,279.4489247,0.036265799,1,4,5
"Chengdu CDC , Taiyuan RDC",5,1107.092762,214.9602292,0.377094203,1,3,4
"Chengdu CDC , Tianjin RDC",1,1530.4,120.5689278,0.088853342,1,1,5
"Chengdu CDC , Urumqi RDC",2,2047.248245,193.1625344,1.091925137,1,2,2
"Chengdu CDC , Xian RDC",35,594.7342857,162.4849179,0.26362539,3,2,4
"Chengdu CDC , Xining RDC",1,673.4,130.1552934,0.123213888,1,1,5
"Chengdu CDC , Yinchuan RDC",8,1449.148167,197.6710163,0.514777669,1,2,4
"Heifei CDC , Beijing RDC",11,922.7896776,227.9600724,0.50073441,2,3,4
"Heifei CDC , Chongqing RDC",3,568.1853429,223.6789724,1.315996849,1,3,1
"Heifei CDC , Guangdong RDC",8,1050.030318,226.9700662,0.72150684,1,3,3
"Heifei CDC , Guangzhou RDC",13,1122.377894,231.0658757,0.494769755,2,3,4
