RouteName,CountShipment,GCD,AveDensity,AveCO2,SumCO2,TrafficRating,DensityRating,EfficiencyRating
"Beijing CDC , Changchun RDC",15,865.3,146.8933256,0.265173014,3.97759521,2,1,4
"Beijing CDC , Changsha RDC",4,1344.6,277.2936802,0.082732776,0.330931102,1,3,5
"Beijing CDC , Chengdu RDC",10,1536.100293,245.3433022,0.331151908,3.311519083,2,3,4
"Beijing CDC , Qingdao RDC",18,560.2,132.4592865,0.292992333,5.273861997,3,1,4
"Beijing CDC , Fuzhou RDC",9,1583.8,179.3558811,0.098020924,0.882188313,2,2,5
"Beijing CDC , Dongguan RDC",16,1933.6,204.4595911,0.244647009,3.914352139,3,2,4
"Beijing CDC , Guangzhou RDC",20,1880.951549,140.1527715,0.312229928,6.244598554,3,1,4
"Beijing CDC , Guiyang RDC",3,1746.7,464.3270178,0.060869477,0.18260843,1,5,5
"Beijing CDC , Haikou RDC",4,2301.245746,153.2346952,0.988819825,3.955279299,1,1,2
"Beijing CDC , Hangzhou RDC",18,1131,142.2903925,0.269797985,4.856363737,3,1,4
"Beijing CDC , Harbin RDC",15,1057.4,158.0456663,0.263000146,3.945002185,2,1,4
"Beijing CDC , Hefei RDC",7,921.3,177.2494091,0.130299939,0.912099576,1,2,5
"Beijing CDC , Hohhot RDC",25,398.9,149.6553787,0.265114033,6.627850837,3,1,4
"Beijing CDC , Chongqing RDC",4,1479.7,170.4558783,0.257166325,1.028665299,1,2,4
"Beijing CDC , Kunming RDC",8,2096,142.1403925,0.082777974,0.662223793,2,1,5
"Beijing CDC , Lanzhou RDC",10,1161.4,142.4427105,0.289865,2.89865,2,1,4
"Beijing CDC , Lhasa RDC",1,2558.542118,125.5899705,1.156706878,1.156706878,1,1,2
"Beijing CDC , Nanchang RDC",8,1263.8,121.1941984,0.137809964,1.102479709,2,1,5
"Beijing CDC , Nanjing RDC",11,927.2,144.1589015,0.192185958,2.114045538,2,1,5
"Beijing CDC , Nanning RDC",6,2053.7,140.5480202,0.072686686,0.436120118,1,1,5
"Beijing CDC , Jinan RDC",27,378.3,161.896526,0.285289168,7.702807532,3,2,4
"Beijing CDC , Shanghai RDC",4,1072.3,371.2145926,0.234560675,0.938242701,1,4,4
"Beijing CDC , Shenyang RDC",22,641.3,131.4936326,0.272328274,5.991222029,3,1,4
"Beijing CDC , Shijiazhuang RDC",22,266.2,130.675069,0.299380892,6.586379634,3,1,4
"Beijing CDC , Taiyuan RDC",20,412.8,130.8876985,0.305537079,6.110741587,3,1,4
"Beijing CDC , Tianjin RDC",20,137.3,146.1715272,0.280110496,5.602209922,3,1,4
"Beijing CDC , Urumqi RDC",5,2409.8,121.5944573,0.09244426,0.462221302,1,1,5
"Beijing CDC , Wuhan RDC",8,1079.3,151.0498154,0.168864824,1.350918593,2,1,5
"Beijing CDC , Xiamen RDC",4,1731.1,126.6117077,0.19145113,0.765804521,1,1,5
"Beijing CDC , Xian RDC",11,911.6,220.3132344,0.286283209,3.149115302,2,3,4
"Beijing CDC , Yinchuan RDC",7,888.3,137.09958,0.312236009,2.185652061,1,1,4
"Beijing CDC , Zhengzhou RDC",22,627.4,153.9157189,0.275336331,6.057399275,3,1,4
"Chengdu CDC , Beijing RDC",9,1518.7,244.0050831,0.167057114,1.503514023,2,3,5
"Chengdu CDC , Changchun RDC",3,2381.661779,220.5056543,0.963778515,2.891335544,1,3,2
"Chengdu CDC , Changsha RDC",2,935,261.8896535,0.160237212,0.320474425,1,3,5
"Chengdu CDC , Chengdu RDC",17,27,138.6934582,0.3502114,5.953593798,3,1,4
"Chengdu CDC , Qingdao RDC",1,1639.2,284.6774194,0.035765047,0.035765047,1,3,5
"Chengdu CDC , Fuzhou RDC",1,1596.3,262.7960275,0.043314845,0.043314845,1,3,5
"Chengdu CDC , Dongguan RDC",1,1351.191666,262.9179331,0.987567565,0.987567565,1,3,2
"Chengdu CDC , Guangzhou RDC",9,1139.711111,263.1061285,0.177658827,1.598929447,2,3,5
"Chengdu CDC , Guiyang RDC",9,547.7,142.2230139,0.302800284,2.725202552,2,1,4
"Chengdu CDC , Haikou RDC",4,1357.385596,242.1135705,1.056102572,4.22441029,1,3,2
"Chengdu CDC , Hangzhou RDC",8,1549.2,235.8712455,0.172522947,1.380183573,2,3,5
"Chengdu CDC , Harbin RDC",4,2576.89331,250.8397461,0.874508896,3.498035583,1,3,3
"Chengdu CDC , Hefei RDC",2,1280.1,269.8215553,0.039329235,0.078658469,1,3,5
"Chengdu CDC , Hohhot RDC",1,1313.8,265.3846154,0.042840822,0.042840822,1,3,5
"Chengdu CDC , Chongqing RDC",9,284.4,141.0706775,0.287691556,2.589224002,2,1,4
"Chengdu CDC , Kunming RDC",8,659.5,131.6513908,0.316767465,2.534139716,2,1,4
"Chengdu CDC , Lanzhou RDC",7,581.9,122.9114099,0.447463914,3.132247397,1,1,4
"Chengdu CDC , Nanchang RDC",1,1174.3,265.3225806,0.042854788,0.042854788,1,3,5
"Chengdu CDC , Nanjing RDC",7,1421.29939,266.3055924,0.379338307,2.655368152,1,3,4
"Chengdu CDC , Nanning RDC",7,981.1,158.9262298,0.286834447,2.007841127,1,1,4
"Chengdu CDC , Jinan RDC",11,1372.593937,259.4855855,0.307606204,3.383668239,2,3,4
"Chengdu CDC , Shanghai RDC",5,1667.390354,282.4208817,0.294766037,1.473830187,1,3,4
"Chengdu CDC , Shenyang RDC",2,2141.2,279.4489247,0.036265799,0.072531598,1,3,5
"Chengdu CDC , Shijiazhuang RDC",2,1264.6,275.4849603,0.087412964,0.174825929,1,3,5
"Chengdu CDC , Taiyuan RDC",5,1107.092762,214.9602292,0.377094203,1.885471015,1,3,4
"Chengdu CDC , Tianjin RDC",1,1530.4,120.5689278,0.088853342,0.088853342,1,1,5
"Chengdu CDC , Urumqi RDC",2,2047.248245,193.1625344,1.091925137,2.183850274,1,2,2
"Chengdu CDC , Wuhan RDC",3,1010.3,227.9653049,0.19999871,0.599996131,1,3,5
"Chengdu CDC , Xian RDC",10,611.4,135.4578666,0.280041966,2.800419658,2,1,4
"Chengdu CDC , Xining RDC",1,673.4,130.1552934,0.123213888,0.123213888,1,1,5
"Chengdu CDC , Yinchuan RDC",3,859.4,132.0239536,0.302137127,0.906411381,1,1,4
"Chengdu CDC , Zhengzhou RDC",7,1030.4,254.6786055,0.158863207,1.112042452,1,3,5
"Hefei CDC , Beijing RDC",11,922.7896776,227.9600724,0.50073441,5.508078507,2,3,4
"Hefei CDC , Changchun RDC",4,1522.926498,229.9156624,0.960884257,3.843537026,1,3,2
"Hefei CDC , Chengdu RDC",5,1270.987893,230.738447,0.49510899,2.475544951,1,3,4
"Hefei CDC , Qingdao RDC",3,568.1853429,223.6789724,1.315996849,3.947990547,1,3,1
"Hefei CDC , Dongguan RDC",8,1050.030318,226.9700662,0.72150684,5.772054722,2,3,3
"Hefei CDC , Guangzhou RDC",8,1029.496644,231.2705186,0.494557732,3.95646186,2,3,4
"Hefei CDC , Guiyang RDC",2,1179.197505,223.457971,1.022325092,2.044650185,1,3,2
"Hefei CDC , Haikou RDC",1,1483.368006,253.4246575,0.965662214,0.965662214,1,3,2
"Hefei CDC , Hangzhou RDC",3,314.8,237.4730708,0.186605774,0.559817321,1,3,5
"Hefei CDC , Harbin RDC",2,1751.3,239.2542214,0.044688751,0.089377501,1,3,5
"Hefei CDC , Hohhot RDC",2,1118.579353,211.2202343,0.613018576,1.226037152,1,2,3
"Hefei CDC , Chongqing RDC",4,1065.272624,218.9629287,1.051337132,4.205348526,1,3,2
"Hefei CDC , Kunming RDC",5,1600.291293,224.3384325,0.339385001,1.696925007,1,3,4
"Hefei CDC , Lanzhou RDC",4,1305.276147,214.5035238,0.996032364,3.984129458,1,3,2
"Hefei CDC , Nanchang RDC",4,370.0450128,225.0969132,1.61806511,6.47226044,1,3,1
"Hefei CDC , Nanjing RDC",11,151.2,240.2067526,0.16899051,1.858895606,2,3,5
"Hefei CDC , Nanning RDC",1,1328.7,241.9230769,0.044277514,0.044277514,1,3,5
"Hefei CDC , Jinan RDC",5,545.6082876,227.0240568,0.630643725,3.153218625,1,3,3
"Hefei CDC , Shanghai RDC",4,399,244.570296,0.158730309,0.634921238,1,3,5
"Hefei CDC , Shenyang RDC",4,1261.531474,241.4337667,0.793479381,3.173917525,1,3,3
"Hefei CDC , Shijiazhuang RDC",2,745.0749405,239.4465291,1.180955979,2.361911959,1,3,2
"Hefei CDC , Taiyuan RDC",3,788.692789,243.8498766,0.825073754,2.475221261,1,3,3
"Hefei CDC , Tianjin RDC",6,814.1219863,216.8437162,1.144149249,6.864895493,1,3,2
"Hefei CDC , Wuhan RDC",2,303,231.6319846,0.186537349,0.373074698,1,3,5
"Hefei CDC , Xiamen RDC",1,808.650347,207.1428571,1.148835326,1.148835326,1,2,2
"Hefei CDC , Xian RDC",2,826.2451831,228.5406014,1.138678937,2.277357874,1,3,2
"Hefei CDC , Yinchuan RDC",1,1233.674585,230.7692308,1.010240227,1.010240227,1,3,2
"Hefei CDC , Zhengzhou RDC",4,452.5873129,244.8071418,1.459239056,5.836956226,1,3,1
"Huiyang CDC , Beijing RDC",27,1915.8,139.2769846,0.2619036,7.071397195,3,1,4
"Huiyang CDC , Changsha RDC",25,611,130.3110624,0.330186157,8.254653927,3,1,4
"Huiyang CDC , Chengdu RDC",15,1348,121.7195311,0.373941362,5.609120427,2,1,4
"Huiyang CDC , Qingdao RDC",6,1583.9,141.9561713,0.072181883,0.433091299,1,1,5
"Huiyang CDC , Fuzhou RDC",19,602.1,128.402842,0.309607364,5.882539908,3,1,4
"Huiyang CDC , Dongguan RDC",25,38.6,134.4184935,0.402671334,10.06678334,3,1,4
"Huiyang CDC , Guangzhou RDC",64,99.9,119.5073689,0.706106157,45.19079404,5,1,3
"Huiyang CDC , Guiyang RDC",5,884,123.2016706,0.372776361,1.863881804,1,1,4
"Huiyang CDC , Haikou RDC",11,541.9,130.9472939,0.318474209,3.503216294,2,1,4
"Huiyang CDC , Hangzhou RDC",14,1000.8,133.0009786,0.306455997,4.290383952,2,1,4
"Huiyang CDC , Harbin RDC",4,2769.5,111.6134758,0.094485132,0.377940527,1,1,5
"Huiyang CDC , Hefei RDC",14,1031,142.8169358,0.259340403,3.630765648,2,1,4
"Huiyang CDC , Hohhot RDC",2,2009.1,140.6063444,0.07645904,0.152918081,1,1,5
"Huiyang CDC , Chongqing RDC",6,1085.5,117.6973646,0.38874754,2.332485238,1,1,4
"Huiyang CDC , Kunming RDC",17,1205.6,169.3416995,0.253977111,4.317610881,3,2,4
"Huiyang CDC , Lanzhou RDC",1,1774.3,127.8705531,0.092806076,0.092806076,1,1,5
"Huiyang CDC , Nanchang RDC",18,659.3,126.9630135,0.289591445,5.212646007,3,1,4
"Huiyang CDC , Nanjing RDC",23,1096.6,131.6060341,0.302314155,6.953225567,3,1,4
"Huiyang CDC , Nanning RDC",13,636.6,131.5934937,0.286093001,3.719209007,2,1,4
"Huiyang CDC , Jinan RDC",15,1553.3,131.9226262,0.28395929,4.259389343,2,1,4
"Huiyang CDC , Shanghai RDC",15,1164,149.1564159,0.299253734,4.48880601,2,1,4
"Huiyang CDC , Shenyang RDC",3,2282,148.6322203,0.072939155,0.218817464,1,1,5
"Huiyang CDC , Shijiazhuang RDC",6,1691.7,126.9054918,0.287063093,1.72237856,1,1,4
"Huiyang CDC , Taiyuan RDC",9,1662.4,143.6105816,0.274043139,2.466388248,2,1,4
"Huiyang CDC , Tianjin RDC",4,1823.8,127.2471407,0.300709243,1.202836973,1,1,4
"Huiyang CDC , Urumqi RDC",2,3395.7,130.058941,0.087045153,0.174090307,1,1,5
"Huiyang CDC , Wuhan RDC",23,841.8,124.2317599,0.283670207,6.524414766,3,1,4
"Huiyang CDC , Xiamen RDC",12,413.6,126.3452143,0.324951053,3.899412633,2,1,4
"Huiyang CDC , Xian RDC",10,1383.2,136.3350499,0.319696777,3.196967772,2,1,4
"Huiyang CDC , Yinchuan RDC",2,1883,110.8442029,0.104005755,0.20801151,1,1,5
"Huiyang CDC , Zhengzhou RDC",7,1319.1,161.0429331,0.232034557,1.624241898,1,1,4
